week_start,publish_date,title,primary_keyword,persona,channel,cta
2026-03-02,2026-03-03,How to Craft a 60-Second Startup Pitch,60 second startup pitch,founder,blog+linkedin,join_lead_form
2026-03-02,2026-03-04,What Angels Look for in Early-Stage Pitches,what investors look for in startups,founder,blog+x,join_lead_form
2026-03-02,2026-03-05,Startup Website SEO Basics for India,startup seo india,both,blog+linkedin,join_lead_form
2026-03-02,2026-03-06,Building Trust With Early Users,how to build trust with users,founder,blog+newsletter,join_lead_form
2026-03-09,2026-03-10,5 Pitch Deck Mistakes to Avoid,pitch deck mistakes,founder,blog+linkedin,join_lead_form
2026-03-09,2026-03-11,Preparing for Your First Investor Call,first investor call checklist,founder,blog+x,join_lead_form
2026-03-09,2026-03-12,Choosing the Right Startup Metrics,startup metrics for early stage,founder,blog+linkedin,join_lead_form
2026-03-09,2026-03-13,Content Calendar for Startup Growth,startup content calendar,both,blog+newsletter,join_lead_form
2026-03-16,2026-03-17,Virtual Pitch Events: How They Work,virtual pitch events,founder,blog+x,join_lead_form
2026-03-16,2026-03-18,Founder Branding on LinkedIn,founder linkedin branding,founder,blog+linkedin,join_lead_form
2026-03-16,2026-03-19,Building a Lean Go-To-Market Plan,lean go to market,both,blog+linkedin,join_lead_form
2026-03-16,2026-03-20,How to Write Investor Update Emails,investor update email template,founder,blog+newsletter,join_lead_form
