name,sector,revenue,aliases,source_refs
Zepto,Quick Commerce,,Zepto,LI2025|LI2024
Lucidity,Cloud Data,,Lucidity,LI2025|LI2024
Swish,Food Delivery,,Swish,LI2025
Weekday,HR Tech,,Weekday,LI2025
Jar,Fintech,,Jar,LI2025|LI2024
Convin,AI Customer Intelligence,,Convin,LI2025|LI2024
Bhanzu,Education,,Bhanzu,LI2025
Refyne India,Fintech,,Refyne|Refyne India,LI2025|LI2024
EMotorad,EV Mobility,,EMotorad,LI2025
Atlys,Travel,,Atlys,LI2025
Intervue.io,HR Tech,,Intervue|Intervue.io,LI2025
Blissclub,Fashion,,Blissclub,LI2025
FirstClub,Grocery,,FirstClub,LI2025
Snabbit,Home Services,,Snabbit,LI2025
GoKwik,Ecommerce Enablement,,GoKwik,LI2025|LI2024
Dezerv,Wealthtech,,Dezerv,LI2025
NEWME,Fashion,,NEWME,LI2025
CARD91,Payments Infrastructure,,CARD91|Card91,LI2025
LimeChat,Conversational Commerce,,LimeChat,LI2025
AppsForBharat,Consumer Apps,,AppsForBharat|Sri Mandir,LI2025
Sprinto,Compliance SaaS,,Sprinto,LI2024
GrowthX,Community,,GrowthX,LI2024
Wiingy,Education,,Wiingy,LI2024
SourceBae,HR Marketplace,,SourceBae,LI2024
BiofuelCircle,Clean Energy,,BiofuelCircle,LI2024
Supersourcing,Talent Marketplace,,Supersourcing,LI2024
Battery Smart,EV Energy,,Battery Smart,LI2024
Scrut Automation,Compliance SaaS,,Scrut Automation,LI2024
MindPeers,Mental Health,,MindPeers,LI2024
Oben Electric,EV Mobility,,Oben Electric,LI2024
GIVA,Jewelry,,GIVA,LI2024
TravClan,Travel,,TravClan,LI2024
Bijak,Agri Marketplace,,Bijak,LI2024
Plum,Insurtech,,Plum,LI2024
Zerodha,Fintech,,Zerodha,HU2025
Lenskart,Ecommerce,,Lenskart,HU2025
Razorpay,Fintech,,Razorpay,HU2025
Groww,Fintech,,Groww,HU2025
OYO,Hospitality,,OYO|Oravel,HU2025
InMobi,AdTech,,InMobi,HU2025
Meesho,Ecommerce,,Meesho,HU2025
PhysicsWallah,Education,,PhysicsWallah|PW,HU2025
ChargeBee,SaaS,,ChargeBee,HU2025
CRED,Fintech,,CRED,HU2025
Upstox,Fintech,,Upstox,HU2025
BrowserStack,SaaS,,BrowserStack,HU2025
Postman,SaaS,,Postman,HU2025
CARS24,Auto Marketplace,,CARS24|Cars24,HU2025
Zetwerk,Manufacturing,,Zetwerk,HU2025
Rapido,Mobility,,Rapido,HU2025
